ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL47138;178211;Smallmolecule;None;-;1;Human;0;Functional;2;6.8;6.8;6.8;EC50;ChEMBL;455;11;2;3;5.6;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1cccc(-c2cccc(Cl)c2)c1
CHEMBL166351;57050;Smallmolecule;None;-;0;Human;0;Functional;1;5.0;5.0;5.0;Ki;ChEMBL;306;4;1;1;4.7;O=C(O)/C=C/c1ccccc1Cc1ccc(Cl)c(Cl)c1
CHEMBL423815;164600;Smallmolecule;None;-;0;Human;0;Functional;2;5.5;5.5;5.5;Ki;ChEMBL;288;4;1;1;4.5;O=C(O)/C=C/c1ccccc1Cc1ccc2ccccc2c1
CHEMBL191627;67738;Smallmolecule;None;-;1;Human;0;Functional;1;6.7;6.7;6.7;EC50;ChEMBL;369;12;2;4;3.1;O=C(O)CCCSCCN1C(=O)CCC[C@@H]1/C=C/[C@@H](O)CCC1CC1
CHEMBL372894;134796;Smallmolecule;None;-;1;Human;0;Functional;1;7.5;7.5;7.5;EC50;ChEMBL;383;12;2;4;3.5;O=C(O)CCCSCCN1C(=O)CCC[C@@H]1/C=C/[C@@H](O)CCC1CCC1
CHEMBL191748;67978;Smallmolecule;None;-;1;Human;0;Functional;1;5.8;5.8;5.8;EC50;ChEMBL;431;12;3;4;4.4;CC(C)c1cc(C[C@H](O)/C=C/[C@H]2CCCC(=O)N2CCCCCCC(=O)O)ccc1O
CHEMBL191770;68048;Smallmolecule;None;-;1;Human;0;Functional;1;6.2;6.2;6.2;EC50;ChEMBL;437;11;2;5;4.1;O=C(O)CCCSCCN1C(=O)CCC[C@@H]1CC[C@@H](O)c1ccc(C(F)(F)F)o1
CHEMBL191790;68087;Smallmolecule;None;-;1;Human;0;Functional;1;6.5;6.5;6.5;EC50;ChEMBL;399;13;2;4;4.1;CCCCC(C)(C)C(O)/C=C/[C@H]1CCCC(=O)N1CCSCCCC(=O)O
CHEMBL191874;68102;Smallmolecule;None;-;1;Human;0;Functional;1;4.7;4.7;4.7;EC50;ChEMBL;465;12;2;4;5.7;Cc1cc(O)ccc1-c1cccc(C(=O)CC[C@H]2CCCC(=O)N2CCCCCCC(=O)O)c1
CHEMBL192655;68650;Smallmolecule;None;-;1;Human;0;Functional;1;6.6;6.6;6.6;EC50;ChEMBL;417;11;2;4;3.6;O=C(O)CCCSCCN1C(=O)CCC[C@@H]1/C=C/C(O)C1(c2ccccc2)CC1
CHEMBL192743;68725;Smallmolecule;None;-;1;Human;0;Functional;1;8.2;8.2;8.2;EC50;ChEMBL;503;12;2;4;6.1;Cc1cc(Cl)ccc1-c1cccc([C@H](O)CC[C@H]2CCCC(=O)N2CCSCCCC(=O)O)c1
CHEMBL193405;68963;Smallmolecule;None;-;1;Human;0;Functional;1;6.6;6.5;6.6;EC50;ChEMBL;403;11;3;4;3.6;Cc1cc(C[C@H](O)/C=C/[C@H]2CCCC(=O)N2CCCCCCC(=O)O)ccc1O
CHEMBL222677;84068;Smallmolecule;None;-;1;Human;0;Functional;2;10.4;10.4;10.4;EC50;ChEMBL;491;9;2;3;6.1;Cc1cc(Cl)ccc1-c1cccc([C@H](O)CC[C@H]2CCC(=O)N2CCc2ccc(C(=O)O)cc2)c1
CHEMBL222782;84083;Smallmolecule;None;-;1;Human;0;Functional;2;9.7;9.7;9.7;EC50;ChEMBL;371;9;2;3;3.4;O=C(O)c1ccc(CCN2C(=O)CC[C@@H]2/C=C/[C@@H](O)CCC2CCC2)cc1
CHEMBL222834;84093;Smallmolecule;None;-;1;Human;0;Functional;2;8.2;8.2;8.2;EC50;ChEMBL;423;10;2;4;3.2;COCc1cccc(C[C@H](O)/C=C/[C@H]2CCC(=O)N2CCc2ccc(C(=O)O)cc2)c1
CHEMBL223151;84138;Smallmolecule;None;-8;2;Human;0;Functional;2;7.8;7.8;7.8;EC50;ChEMBL;357;13;2;4;3.1;CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCSCCCC(=O)O
CHEMBL223744;84308;Smallmolecule;None;-;1;Human;0;Functional;2;6.8;6.8;6.8;EC50;ChEMBL;373;10;2;3;3.6;O=C(O)c1ccc(CCN2C(=O)CC[C@@H]2CC[C@@H](O)CCC2CCC2)cc1
CHEMBL224970;84508;Smallmolecule;None;-;1;Human;0;Functional;2;7.9;7.9;7.9;EC50;ChEMBL;365;10;2;4;3.5;CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)s1
CHEMBL372926;134847;Smallmolecule;None;-;1;Human;0;Functional;1;7.0;7.0;7.0;EC50;ChEMBL;467;12;3;4;5.6;Cc1cc(O)ccc1-c1cccc([C@@H](O)CC[C@H]2CCCC(=O)N2CCCCCCC(=O)O)c1
CHEMBL373558;135670;Smallmolecule;None;-;1;Human;0;Functional;2;6.8;6.8;6.8;EC50;ChEMBL;429;11;2;4;3.0;O=C(O)COCCCCN1C(=O)CC[C@@H]1/C=C/[C@@H](O)Cc1cccc(C(F)(F)F)c1
